generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2095000,22,90.3393,-18685.6,11.3587,0.37
2100000,23,94.1848,-18696,13.426,0.359
2105000,22,108.968,-18685.8,9.34163,0.3586
2110000,22,97.9152,-18698.1,15.6549,0.3504
2115000,23,108.169,-18690.3,13.43,0.3622
2120000,25,117.326,-18694,12.1543,0.3556
2125000,24,114.634,-18689.8,13.8069,0.3688
2130000,22,110.652,-18691.2,10.3624,0.3492
2135000,26,116.839,-18678.5,13.8186,0.3592
2140000,22,103.035,-18690.7,8.58114,0.3602
2145000,26,117.118,-18686.6,13.9895,0.3468
2150000,25,103.805,-18690.3,17.1976,0.3658
2155000,19,69.2248,-18703.8,10.2294,0.345
2160000,26,118.051,-18700,12.5163,0.353
2165000,23,94.6867,-18677.9,20.1255,0.3402
2170000,23,103.79,-18680.4,11.0258,0.3268
2175000,21,94.7702,-18689.9,7.46383,0.3174
2180000,17,69.1293,-18692.4,9.74118,0.3164
2185000,21,98.3806,-18713.4,10.3267,0.3574
2190000,23,106.456,-18701.3,8.60077,0.3322
2195000,23,113.696,-18699.5,12.6445,0.3712
2200000,19,84.0698,-18713.7,7.73924,0.343
2205000,19,78.0335,-18691.5,8.75954,0.3546
2210000,18,79.1201,-18692.1,6.72719,0.3346
2215000,20,90.8632,-18693.1,10.1333,0.3474
2220000,20,84.7217,-18696.5,11.2406,0.3404
2225000,18,70.9801,-18702.8,16.0383,0.3204
2230000,15,59.5972,-18717.4,7.05241,0.335661
2235000,17,65.5698,-18711.5,8.78978,0.3161
2240000,17,70.4448,-18701,6.55745,0.3106
2245000,16,62.3138,-18707,7.80869,0.3284
2250000,21,84.5145,-18701.2,10.174,0.314
2255000,21,100.594,-18702.6,9.97107,0.3572
2260000,25,120.855,-18688.8,13.837,0.3364
2265000,31,155.966,-18680.2,14.2976,0.3726
2270000,30,143.022,-18683.3,13.956,0.3648
2275000,27,118.471,-18679.5,16.6918,0.3632
2280000,25,105.347,-18684,13.0031,0.369
2285000,22,104.011,-18708,10.6953,0.338826
2290000,20,93.6617,-18705,11.5762,0.3674
2295000,21,92.972,-18690.5,12.1485,0.338333
2300000,20,90.9991,-18681.9,8.94398,0.3206
2305000,23,111.794,-18693.2,9.67239,0.3352
2310000,20,83.1274,-18684.2,15.0714,0.3392
2315000,25,118.035,-18706.1,9.69746,0.3346
2320000,28,119.981,-18684.2,16.1412,0.3684
2325000,28,127.932,-18682.7,9.86174,0.379
2330000,20,94.0656,-18696.1,9.64195,0.3642
2335000,23,106.552,-18693.1,12.4157,0.3568
2340000,26,111.878,-18708.6,13.6384,0.3732
2345000,23,107.081,-18709.6,10.0798,0.357
2350000,21,94.0873,-18708.6,11.5645,0.3434
2355000,17,68.1978,-18720.5,7.61541,0.343
2360000,19,90.1305,-18715,14.5335,0.329177
2365000,19,89.9059,-18723.7,13.2854,0.342
2370000,18,72.0906,-18717.7,11.2391,0.34
2375000,21,106.341,-18703.4,8.06403,0.333953
2380000,25,132.412,-18714.9,16.4244,0.3414
2385000,21,104.365,-18696.3,8.95289,0.3592
2390000,21,93.3337,-18706.2,12.2903,0.3418
2395000,24,123.23,-18700.9,14.3369,0.35
2400000,20,94.636,-18707.8,11.5053,0.372
2405000,23,117.105,-18711.9,10.1123,0.340029
2410000,21,111.76,-18701.6,6.67196,0.3358
2415000,25,124.098,-18684.6,12.2551,0.338
2420000,20,99.7261,-18696.8,13.4816,0.3358
2425000,19,98.7218,-18699.8,6.93947,0.32
2430000,22,110.314,-18707.9,12.6087,0.3152
2435000,23,113.153,-18684.8,14.0638,0.3414
2440000,28,140.042,-18689.4,22.6525,0.359
2445000,27,135.887,-18683,13.5495,0.3638
2450000,21,97.2747,-18697.5,12.4045,0.372
2455000,28,127.571,-18690.1,22.3588,0.3666
2460000,26,144.28,-18687.4,9.72349,0.3642
2465000,30,149.733,-18684.4,18.9888,0.3518
2470000,34,172.754,-18684.3,16.092,0.373
2475000,27,122.278,-18667.6,20.5888,0.3422
2480000,24,123.007,-18686.1,10.1761,0.357
2485000,28,143.034,-18703.1,19.8918,0.3342
2490000,37,206.943,-18695.2,17.0089,0.3798
2495000,31,172.969,-18705.5,14.1336,0.3806
2500000,31,157.61,-18692.3,12.6074,0.3768
2505000,27,135.032,-18695.4,14.9087,0.3664
2510000,32,177.117,-18689.9,16.781,0.3562
2515000,32,164.961,-18670.5,14.8946,0.3634
2520000,35,184.026,-18683.6,16.1973,0.3848
2525000,27,137.219,-18691.7,10.3619,0.383
2530000,24,115.343,-18684.5,12.371,0.3514
2535000,24,117.747,-18691,12.6256,0.343
2540000,23,114.347,-18699.8,13.4614,0.356
